Name,Type,FDC ID,Protein (g),Total Fat (g),Carbs (g),Calories (kcal),Sugars (g),Fiber (g),Calcium (mg),Iron (mg),Magnesium (mg),Phosphorus (mg),Potassium (mg),Sodium (mg),Zinc (mg),Copper (mg),Selenium (mcg),Vitamin A (mcg),Vitamin E (mg),Vitamin D (mcg),Vitamin C (mg),Vitamin B-1 (mg),Vitamin B-2 (mg),Vitamin B-3 (mg),Vitamin B-6 (mg),Folate (mcg),Vitamin B-12 (mcg),Vitamin K (mcg),Cholesterol (mg),Saturated Fat (g),Omega-3 EPA (g),Monounsaturated Fat (g),Polyunsaturated Fat (g)
"Rice, brown, cooked, fat added, NS as to fat type",N/A,2708413,2.38,3.12,25.2,138.0,0.22,1.0,6.0,0.39,39.0,95.0,78.0,203.0,0.62,0.091,4.9,9.0,0.5,0.0,0.0,0.086,0.03,2.06,0.064,5.0,0.0,1.9,2.0,0.728,0.0,1.07,0.913
"Rice, brown, cooked, fat added, made with oil",N/A,2708410,2.38,3.41,25.2,141.0,0.22,1.0,5.0,0.39,39.0,94.0,78.0,196.0,0.62,0.091,4.9,0.0,0.64,0.0,0.0,0.086,0.03,2.06,0.051,5.0,0.0,2.5,0.0,0.505,0.0,1.33,1.22
"Rice, brown, cooked, made with butter",N/A,2708411,2.4,3.0,25.2,137.0,0.23,1.0,6.0,0.39,39.0,95.0,78.0,209.0,0.62,0.091,4.9,18.0,0.2,0.0,0.0,0.086,0.03,2.06,0.051,5.0,0.0,0.4,5.0,1.26,0.001,0.739,0.387
"Rice, brown, cooked, made with margarine",N/A,2708412,2.38,2.6,25.2,134.0,0.22,1.0,6.0,0.39,39.0,95.0,79.0,213.0,0.62,0.091,4.9,19.0,0.62,0.1,0.0,0.086,0.031,2.06,0.116,5.0,0.0,2.5,0.0,0.493,0.0,0.909,0.932
"Rice, brown, cooked, no added fat",N/A,2708414,2.43,1.11,25.8,123.0,0.22,1.0,5.0,0.4,39.0,97.0,80.0,201.0,0.63,0.094,5.0,0.0,0.2,0.0,0.0,0.088,0.031,2.11,0.052,5.0,0.0,0.2,0.0,0.199,0.0,0.354,0.336
"Rice, brown, with carrots and dark green vegetables, NS as to fat",N/A,2709061,2.47,2.66,21.3,120.0,0.69,1.8,10.0,0.54,33.0,90.0,122.0,167.0,0.61,0.09,4.7,89.0,0.61,0.0,8.4,0.152,0.069,2.11,0.129,14.0,0.0,14.0,0.0,0.457,0.0,1.07,1.01
"Rice, brown, with carrots and dark green vegetables, fat added",N/A,2709063,2.47,2.66,21.3,120.0,0.69,1.8,10.0,0.54,33.0,90.0,122.0,167.0,0.61,0.09,4.7,89.0,0.61,0.0,8.4,0.152,0.069,2.11,0.129,14.0,0.0,14.0,0.0,0.457,0.0,1.07,1.01
"Rice, brown, with carrots and dark green vegetables, no added fat",N/A,2709062,2.51,0.82,21.7,105.0,0.7,1.8,11.0,0.55,34.0,92.0,125.0,170.0,0.63,0.092,4.8,90.0,0.26,0.0,8.6,0.155,0.071,2.15,0.131,14.0,0.0,12.4,0.0,0.213,0.0,0.293,0.3
"Rice, brown, with carrots and tomatoes and/or tomato-based sauce, NS as to fat",N/A,2709055,2.2,2.51,20.0,111.0,0.9,1.7,10.0,0.53,31.0,81.0,114.0,171.0,0.56,0.087,4.4,86.0,0.65,0.0,2.2,0.223,0.063,2.04,0.122,9.0,0.0,3.6,0.0,0.432,0.0,1.02,0.963
"Rice, brown, with carrots and tomatoes and/or tomato-based sauce, fat added",N/A,2709057,2.2,2.51,20.0,111.0,0.9,1.7,10.0,0.53,31.0,81.0,114.0,171.0,0.56,0.087,4.4,86.0,0.65,0.0,2.2,0.223,0.063,2.04,0.122,9.0,0.0,3.6,0.0,0.432,0.0,1.02,0.963
"Rice, brown, with carrots and tomatoes and/or tomato-based sauce, no added fat",N/A,2709056,2.24,0.78,20.4,97.0,0.91,1.8,10.0,0.54,32.0,82.0,117.0,174.0,0.57,0.089,4.5,88.0,0.32,0.0,2.3,0.227,0.064,2.08,0.124,9.0,0.0,1.9,0.0,0.202,0.0,0.281,0.297
"Rice, brown, with carrots, NS as to fat",N/A,2709043,2.27,2.63,21.4,119.0,0.9,1.9,9.0,0.5,32.0,86.0,115.0,168.0,0.59,0.085,4.6,175.0,0.69,0.0,0.7,0.151,0.062,2.11,0.126,10.0,0.0,4.8,0.0,0.454,0.0,1.07,1.01
"Rice, brown, with carrots, dark green vegetables, and tomatoes and/or tomato-based sauce, NS as to fat",N/A,2709065,2.35,2.57,20.4,114.0,0.76,1.7,11.0,0.55,32.0,85.0,120.0,169.0,0.58,0.089,4.5,59.0,0.6,0.0,6.8,0.2,0.067,2.06,0.125,12.0,0.0,10.0,0.0,0.44,0.0,1.04,0.975
"Rice, brown, with carrots, dark green vegetables, and tomatoes and/or tomato-based sauce, fat added",N/A,2709067,2.35,2.57,20.4,114.0,0.76,1.7,11.0,0.55,32.0,85.0,120.0,169.0,0.58,0.089,4.5,59.0,0.6,0.0,6.8,0.2,0.067,2.06,0.125,12.0,0.0,10.0,0.0,0.44,0.0,1.04,0.975
"Rice, brown, with carrots, dark green vegetables, and tomatoes and/or tomato-based sauce, no added fat",N/A,2709066,2.39,0.8,20.8,100.0,0.78,1.8,11.0,0.56,33.0,87.0,122.0,172.0,0.59,0.091,4.6,60.0,0.27,0.0,6.9,0.204,0.069,2.1,0.127,12.0,0.0,8.4,0.0,0.206,0.0,0.285,0.295
"Rice, brown, with carrots, fat added",N/A,2709045,2.27,2.63,21.4,119.0,0.9,1.9,9.0,0.5,32.0,86.0,115.0,168.0,0.59,0.085,4.6,175.0,0.69,0.0,0.7,0.151,0.062,2.11,0.126,10.0,0.0,4.8,0.0,0.454,0.0,1.07,1.01
"Rice, brown, with carrots, no added fat",N/A,2709044,2.31,0.8,21.8,104.0,0.91,1.9,9.0,0.51,33.0,87.0,117.0,172.0,0.6,0.087,4.7,179.0,0.35,0.0,0.8,0.154,0.063,2.15,0.129,10.0,0.0,3.0,0.0,0.211,0.0,0.291,0.306
"Rice, brown, with cheese and/or cream based sauce, NS as to fat",N/A,2709101,4.87,6.62,19.3,157.0,0.22,1.1,92.0,0.49,32.0,137.0,100.0,282.0,0.85,0.079,5.9,24.0,0.46,0.3,0.2,0.136,0.118,1.83,0.098,9.0,0.1,2.1,11.0,2.71,0.0,2.32,1.29
"Rice, brown, with cheese and/or cream based sauce, fat added",N/A,2709103,4.87,6.62,19.3,157.0,0.22,1.1,92.0,0.49,32.0,137.0,100.0,282.0,0.85,0.079,5.9,24.0,0.46,0.3,0.2,0.136,0.118,1.83,0.098,9.0,0.1,2.1,11.0,2.71,0.0,2.32,1.29
"Rice, brown, with cheese and/or cream based sauce, no added fat",N/A,2709102,4.95,5.04,19.6,144.0,0.22,1.2,93.0,0.5,33.0,139.0,102.0,287.0,0.87,0.08,6.0,24.0,0.15,0.3,0.2,0.138,0.12,1.86,0.1,9.0,0.1,0.4,11.0,2.53,0.0,1.64,0.666
"Rice, brown, with corn, NS as to fat",N/A,2709037,2.64,2.71,23.7,128.0,0.84,1.7,3.0,0.53,36.0,96.0,116.0,155.0,0.68,0.091,4.6,2.0,0.49,0.0,0.8,0.142,0.066,2.24,0.115,14.0,0.0,2.1,0.0,0.464,0.0,1.1,1.05
"Rice, brown, with corn, fat added",N/A,2709039,2.64,2.71,23.7,128.0,0.84,1.7,3.0,0.53,36.0,96.0,116.0,155.0,0.68,0.091,4.6,2.0,0.49,0.0,0.8,0.142,0.066,2.24,0.115,14.0,0.0,2.1,0.0,0.464,0.0,1.1,1.05
"Rice, brown, with corn, no added fat",N/A,2709038,2.69,0.9,24.1,113.0,0.86,1.8,3.0,0.54,36.0,97.0,118.0,158.0,0.69,0.093,4.7,2.0,0.15,0.0,0.8,0.145,0.067,2.28,0.117,15.0,0.0,0.2,0.0,0.225,0.0,0.33,0.354
"Rice, brown, with dark green vegetables and tomatoes and/or tomato-based sauce, NS as to fat",N/A,2709058,2.38,2.54,19.9,112.0,0.7,1.7,12.0,0.57,32.0,85.0,122.0,170.0,0.58,0.091,4.5,4.0,0.56,0.0,9.5,0.224,0.07,2.05,0.124,13.0,0.0,12.3,0.0,0.434,0.0,1.02,0.96
"Rice, brown, with dark green vegetables and tomatoes and/or tomato-based sauce, fat added",N/A,2709060,2.39,2.46,19.4,110.0,0.72,1.7,13.0,0.57,32.0,84.0,129.0,165.0,0.57,0.09,4.4,4.0,0.55,0.0,12.1,0.219,0.071,2.0,0.126,15.0,0.0,15.7,0.0,0.42,0.0,0.985,0.926
"Rice, brown, with dark green vegetables and tomatoes and/or tomato-based sauce, no added fat",N/A,2709059,2.42,0.8,20.3,98.0,0.71,1.7,12.0,0.57,33.0,86.0,124.0,173.0,0.59,0.093,4.6,4.0,0.23,0.0,9.7,0.228,0.071,2.08,0.126,13.0,0.0,10.7,0.0,0.203,0.0,0.283,0.291
"Rice, brown, with dark green vegetables, NS as to fat",N/A,2709052,2.67,2.67,21.1,120.0,0.48,1.7,12.0,0.58,35.0,94.0,131.0,164.0,0.64,0.094,4.8,2.0,0.51,0.0,16.6,0.152,0.077,2.11,0.132,19.0,0.0,23.9,0.0,0.456,0.0,1.07,0.996
